label,intensidade,simetria
1,44.70588235294117,69.27058823529413
1,59.85490196078431,83.44313725490196
1,48.55686274509804,79.04313725490195
1,69.43921568627451,72.87843137254902
1,51.54509803921569,84.61176470588235
1,46.67843137254902,80.4
1,48.101960784313725,79.08235294117648
1,46.8235294117647,78.14117647058823
1,56.52156862745098,79.01176470588236
1,63.15686274509804,62.86274509803921
1,48.03137254901961,77.78823529411764
1,47.82745098039216,82.16470588235293
1,52.23137254901961,69.70980392156864
1,48.129411764705885,72.88627450980391
1,60.87450980392157,69.74117647058824
1,48.83529411764706,78.8313725490196
1,52.65098039215686,72.66666666666667
1,53.78823529411765,75.52941176470588
1,45.94509803921569,75.65490196078431
1,63.63921568627451,73.50588235294117
1,51.63137254901961,82.08627450980393
1,54.95686274509804,68.28235294117647
1,54.09411764705882,74.11764705882354
1,58.14117647058824,89.25490196078431
1,57.14901960784314,84.18039215686275
1,47.615686274509805,65.96862745098039
1,57.45882352941177,81.79607843137255
1,54.8,64.52549019607844
1,50.1921568627451,82.41568627450981
1,66.10588235294118,69.52156862745099
1,49.490196078431374,73.82745098039216
1,58.05098039215687,87.47450980392156
1,60.21960784313725,81.5764705882353
1,45.92156862745098,78.96470588235294
1,49.333333333333336,63.49803921568628
1,66.89411764705882,59.52156862745098
1,67.90980392156862,85.6313725490196
1,57.16470588235294,85.85098039215686
1,46.48627450980392,66.30588235294118
1,57.45490196078431,88.10980392156863
1,52.23137254901961,70.62745098039215
1,44.38039215686275,72.14117647058823
1,46.811764705882354,78.95686274509805
1,55.77647058823529,74.76862745098039
1,50.87450980392157,62.20392156862745
1,60.10980392156863,70.20392156862745
1,46.67843137254902,65.54509803921569
1,62.01960784313726,65.85098039215686
1,64.50196078431372,82.61176470588235
1,48.07450980392157,80.8078431372549
1,51.56470588235294,71.5529411764706
1,47.55294117647059,65.94509803921568
1,60.38823529411765,72.10980392156863
1,45.49411764705882,78.61960784313726
1,49.19607843137255,84.04705882352941
1,68.69019607843137,64.21176470588236
1,53.48235294117647,79.62352941176471
1,44.64705882352941,70.83921568627451
1,46.14901960784314,75.41960784313726
1,56.490196078431374,80.8
1,65.3529411764706,72.67450980392158
1,52.52941176470589,81.90588235294118
1,50.52156862745098,61.51372549019608
1,62.47843137254902,70.23529411764706
1,57.51372549019608,86.93333333333334
1,51.19607843137255,74.34509803921569
1,61.44705882352941,85.35686274509804
